1491361508,nan,-1,20000,0,0
1491361511,0.414894,0,19999,0,1
1491361514,0.414894,0,19998,1,1
1491361517,0.414894,0,19998,1,1
1491361520,0.414894,0,19998,1,1
1491361523,0.414894,0,19998,0,2
1491361528,0.414894,0,19998,1,2
1491361531,0.414894,0,19998,1,2
1491361534,0.414894,0,19998,1,2
1491361537,0.414894,0,19998,1,2
1491361540,0.414894,0,19998,1,2
1491361543,0.414894,0,19998,1,2
1491361546,0.414894,0,19998,0,3
1491361551,0.414894,0,19998,1,3
1491361554,0.414894,0,19998,1,3
1491361557,0.414894,0,19998,1,3
1491361560,0.414894,0,19998,1,3
1491361563,0.414894,0,19998,1,3
1491361566,0.414894,0,19998,1,3
1491361569,0.414894,0,19998,0,4
1491361573,0.414894,0,19998,1,4
1491361577,0.414894,0,19998,1,4
1491361580,0.414894,0,19998,1,4
1491361583,0.414894,0,19998,1,4
1491361586,0.414894,0,19998,1,4
1491361589,0.414894,0,19998,1,4
1491361592,0.414894,0,19998,1,4
1491361595,0.414894,0,19998,1,4
1491361599,0.414894,0,19998,1,4
1491361602,0.414894,0,19998,1,4
1491412511,0.414894,0,19998,0,4
1491412516,0.414894,0,19998,1,4
1491412519,0.414894,0,19998,1,4
1491412522,0.382979,20003,19998,0,5
1491412526,0.382979,20003,19998,1,5
1491412530,0.351064,20004,19998,0,6
1491412534,0.351064,20004,19998,1,6
1491412537,0.351064,20004,19998,0,7
1491412542,0.351064,20004,19998,1,7
1491412545,0.351064,20004,19998,1,7
1491412548,0.351064,20004,19998,1,7
1491412551,0.351064,20004,19998,1,7
1491412677,0.351064,20004,19998,0,7
1491412682,0.351064,20004,19998,1,7
1491412685,0.351064,20004,19998,1,7
1491412688,0.351064,20004,19998,1,7
1491412725,0.351064,20004,19998,0,8
